Id,Hotel_name,Review_Title,Review_Text,Rating
442,Dee Cee Manor,Not value for koney,"Rooms are worst. Lot of dust and smell coming from blankets and Pillow's, in toiletrie bleach smell coming from water. But staff who are working very cooperative and friendly. When come to rooms Not worthy accommodation ...",43.0
443,Crystal Residency,Good location,Nice food,65.0
444,Deccan Plaza,Very bad hotel to stay,"Except for Location, there is no value for money. Poor Service. No hot water. Not provided proper linen. Despite complaint to Front Desk, no action was taken, No alternative room was provided. Due to proximity to US Consulate, we have stayed there. Else a Strict NO.",29.0
445,Gokulam Park,Extremely satisfied with the services,"Extremely satisfied with the service and the quality of the room. Food was good, location is very good so it's a very good deal. Car parking is not adequate and that is the only problem other wise it's value for money.",86.0
446,"Radisson Chennai City Centre, India",Great Service! :),"Fantastic service by staff at every touch point. They were very friendly and helpful, and especially so when we were stuck in Chennai due to the floods notwithstanding the hotel running at full occupancy. Cannot imagine staying at another hotel in such times - they have really taken good care of us!",100.0
447,Savera,"TOP NOTCH HOTEL, Great Hotel","Great staff, Desk Rep Sibasan ( small build guy who take care on desk wearing glasses and dark skin guy)
very Delete repeated word helpful, great food with great environment. I am sure next time I will stay at hotel Savera.",100.0
448,Just Guest House,,"Reasonably priced, clean and comfortable. Helpful staff. Perfect location for early flight.",80.0
449,Esthell,Good service and nice breakfast,Its a superb location and situated at he centre place. They provided good service. Perfect for budget and luxury hotel. Its a worth for money. Good buffets breakfast. You can come and enjoy. All sightscreens are near to the hotel.,57.0
450,Mars Classic,Not up-to to the mark,"Room service is extremely poor. Not servicing in time. Taking hours to provide just a water bottle, food is some what OK. No punctuality, No cleanliness, poor service. Taking too much time in all the activities. Simply not worth the money.",43.0
451,"Radisson Chennai City Centre, India","convenient, pleasant hotel","Extremely helpful staff, clean and comfortable room, splendid breakfast buffet.",100.0
452,Hotel Pandian,,"This hotel is good but basic accommodation. There are lots of good restaurants nearby, even on the same lane. Breakfast was basic Indian fare and toast, sometimes a hard boiled egg. They will give you one internet sign-in per person per day, which can be a headache if you have multiple devices. There is a very small gym with a treadmill, exercise bike and a hodgepodge of small dumbbells.",80.0
453,Lemon Tree Chennai,Chennai Hotel,Excellent in terms of hygienic and cleanliness. Enjoyed stay. However food prices are comparatively in higher side. Co-operative staff. Best in class. Would like to stay again. Thanks to Leman Tree staff.,86.0
454,"The Raintree, St. Mary's Road",Great hotel and breakfast buffet,Great hotel and breakfast buffet. Outstanding staff. Stayed with my family but probably ideal for the business traveler.,100.0
455,"Radisson Chennai City Centre, India",The best place to stay when you are in Chennai.,"The best place to stay when in Chennai .. A perfect combo of right location, perfect cleaned hygienic rooms, tasty food, excellent service .. Do visit the place when in Chennai .. Rate it the best place.",100.0
456,Clarion Hotel President,,Hotel is Decent. The buffet quality and options has depreciated for the worse.,60.0
457,The Spring,Needs improvement,"Hotel is located close to the US Consulate, a bit pricey. Strange smell in the room. Nice ambience. Lots of colours, very small rooms, sad car parking, helpful staff, good work on interiors, have a spa ish kind of look, located at the Centre of city,",71.0
458,Rivera,Good,"................................... ................................... ,,,,,,,,,,,,,,,,,,,,,,,,,,,................................... ,,,,,,,,,,,,,,qhxndndbsbsndbxndjdjdjdjdjdjshsbdbddhddhdhdhdnfndnfn",100.0
459,Grand Chennai by GRT Hotels,5 star experience,"Right from the word GO, great lives up to the highest standards of hospitality. At the cost, it is a steal. Rooms are spacious with good warm guest relation executives. The gymnasium, breakfast spread, the ambience is all worth the spend. Would love to come back and stay!",100.0
460,ibis Chennai City Centre,,"IT WAS GOOD. IT IS GOOD FOR A BUSINESS TRAVELLER, WITH A GOOD LOACTION",80.0
461,The Residency Chennai,awesome!!,"The hotel is centrally located and ideal for business meets. Rooms well made and has convenience. The staff here is excellent very well mannered and know how to attend the guest.The location was good, mid of the city and when the rail transit be ready it will make the life much more easier.his hotel will be in my list for my next trip..",65.0
462,Harrisons Chennai,Good hotel. Nice staff. Good restaurant,Good,80.0
463,FabHotel Priyadarshini Park Mount Road,Deba Mishra,Nice Hotel as located in main biz Dist) which saves local conveyence with lively bar. Rooms are worth of money paid with complimentary breakfast ... Above all allows 24hr check in and out,86.0
464,Park Hyatt,My new favorite hotel in Chennai,"Moved to this hotel after a terrible night at another.  This hotel is amazing.  The service is top notch.  The decor, especially if you are in the garment industry is stunning. Food is great. Can't say enough good things.",100.0
465,Just Guest House,,"Over all, the stay was comfortable and good",100.0
466,Park Hyatt,Very good service. 15% less in price would help my pocket..,"Very good service, very clean, great food and nice gym. 15% less in price would help my pocket..",65.0
467,Accord Metropolitan,Not too comfortable,"It seems that hotel does not check the basic amenities in the room, before handing over the room to the traveller.  The phone in my room was not working and it created a problem for me, as after a hectic day of travel you would like to relax and work at your own pace. So they sent the technician who kept on looking for the fix for about an hour and then i had to get my room changed.",20.0
468,Suriya International,Affordable within budget,"Affordable within budget, clean and decent room, service is good. Quite easy access to all major areas in city and shopping areas and eateries are surrounded. So, definitely a good place to stay over. Will recommend for those who come on business budget trip as staying in hotel means sleeping in night time and which is quite good as AC is there and in working condition. :-)",71.0
469,E Hotel,,"Great hotel. Rooms were clean and large.  Hotel is attached to the Express Mall, which is convient.  Good service and breakfast.",80.0
470,Accord Metropolitan,Not too comfortable,"It seems that hotel does not check the basic amenities in the room, before handing over the room to the traveller.  The phone in my room was not working and it created a problem for me, as after a hectic day of travel you would like to relax and work at your own pace. So they sent the technician who kept on looking for the fix for about an hour and then i had to get my room changed.",20.0
471,The Iris,Great location,Value for money! Bathroom cud've been much cleaner. Happy with the stay,80.0
472,Park Avenue,Disappointed,The price is too high for the type of room I have booked. And it seems they haven't received any notification from hotels.com regarding my stay. Breakfast was below average. But the hotel staffs were very nice and courteous. Hotel doesn't worth a price of 3500.,80.0
473,Le Royal M?ridien Chennai,Good location but not good hotel to stay with family,"I have stayed in this hotel for a day but experienced very bad. The rooms are very small and not spacious and comfortable. The look from outside is good, but not hygienic one. Breakfast complementary but there is no variety available. The price is so high, but not worthy to stay. Can find a good hotel in the same surrounding at same cost. Overall, not so good experience with this hotel.",43.0
474,Golden Fruits Business Suites - T Nagar,Budget hotel to stay,Good budget hotel in prime location of T nagar. Although room was very small but still manageable. Should have more space for breakfast in morning as it is really very tight. Overall experience is good.,71.0
475,Pratap Plaza,Old rooms,Old rooms Old rooms Old rooms Old rooms Old rooms Old rooms Old rooms Old rooms Old rooms,43.0
476,Ginger Hotel,Decent budget hotel for corporate people,"The Ginger Hotel at Chennai is located very near to the corporate hub and IT park. The rooms were clean and service was ok. Overall, I would rate this to be a decent budget hotel for the corporate people and without any hesitation must go for stay if need be.",71.0
477,The Residency Chennai,Definitely one of the best hotel to stay,"Excellent stay and one of the good hotel to suggest. Medium in cost and within the budget. Good at service and response. Foods & drinks, transport from the hotel is very much accessible at all the times. Definitely one of the best hotel to stay. Conference rooms and meeting rooms are good for business meetings.",86.0
478,Hotel Grand Residence Porur,Good for a day or 2,Located on a busy road. Good for a day or 2. Rooms are quite small compared to the images shown. But pretty decent for a quick stay to freshen up. Hospitality is quite ok. Otherwise seems to be a nice stay,71.0
479,Trident Chennai,Royal Service,Nice and comfortable. Hotel was cleaned and feel relaxed. Service was marblouse. It is safe and peace of mind. It is located in city and Near to Airport. Morning breakfast was very good enjoyed food. Full value for money.,100.0
480,Green Coconut Resort,Horrible experience,"I really had an very worst experience with the hotel staffs. The reception guy doesn't know how to handle a customer he was such an arrogent guy who doesn't deserve to be in the reception. once if you go out any where, they will check out the room without even checking with you, they will not be bother even if luggage remains in the room. rooms are average, food is good.",40.0
481,Ambica Empire,Not worth staying,"Air Conditioner not working, inspite of complaining about it staff did nothing to ensure I had a comfortable sleep at night. Pathetic service.",40.0
482,The Gateway IT Expressway,GREAT STAY,"GREAT STAY , EVERYTHING WAS UP TO MARK WOULD LIKE TO RECOMMEND TO EVERYBODY",80.0
483,Deccan Plaza,0,". .........................................................................................................................,,,,,,,,,,,,,,,,,,,,,,,,,...............,,,,,,,,,,,...............,,,,,,,,,,,",100.0
484,Bluten by Traditions Inn,,"It was good ,nice and clean",100.0
485,Hyatt Regency Chennai,Won't get back to this hotel,"Hotel is not a 5 starts hotel anymore.
The neighborhood is in construction so you can't get out by walking.
The hotel has a ballroom so they have parties every night and you can hear it in the room (7th floor).
Breakfast is mostly Indian, so if you don't like Indian food you're in trouble.
The free WI-Fi is lousy",60.0
486,The Residency Towers,Overall experience was great,"Centrally located. Great food and rooms. Reasonably priced. Hotel has one of the very good pub, though the food quality was OK. Little disappointed with food at ""Southern Aroma"", my most favourite restaurant. Overall experience was great.",86.0
487,Oyo Rooms Royapettah,,The stay was good and the attendants are cooperative. we had nice stay for the value paid.,80.0
488,Malles Manotaa,Not worth a try,Hotel rooms are very small. Breakfast menu is not good. Breakfast hall is worst. It's not worth money. Try some other place for budget hotels.,40.0
489,Lake View Park,Nice place to stay,"It was a pleasant stay. Nice hotel, room service was excellent. Clean and good hotel. I will recommend this hotel to my family and friends for their future stay in Chennai. If I will come Chennai, I will stay here.",71.0
490,Suvi Annexure,Not worse it,"In transit and wouldn't have spent more time; apart from the free airport shuttle, nothing good to be mentioned. Bed blanket durty, corridor very Noisy, minimum service",40.0
491,Radha Regent,Good stay,It was a very good stay. We enjoyed our stay. The ambient and facilities were good. The food was good and the services were prompt. But they would have added Business news papers availability for the guest to keep them abreast of business developments and current business news. Overall it is very good.,86.0
492,Taj Club House,Jewel hotel,"Extremely courteous staff
Very helpful and attentive will do all they can to make your stay enjoyable and pleasurable 
Can find no fault with my experience or stay 
Loved my stay!",100.0
493,Hilton Chennai,Great helpful staff and Great Location,"Great Service, very much appreciate the reception staff went that extra effort to organise staff at the Chennai Domestic airport to assist with my extra baggage. Thanks you and Keep up the fantastic work guys.",100.0
494,Star City Serviced Apartments,Overall good stay with clean rooms,Stay was good overall. I stayed there for three days. Location is good as is in the middle of the city center. Is a nice quiet place. Breakfast is free but is arranged from Sangeeta which I liked. Overall stay was very comfortable and good. Room was spacious and clean.,86.0
495,The Park Chennai,Good location at good price,Need maintaince there was smell in the room. Breakfast was good.,60.0
496,Raj Park Chennai,Stay at Raj park,"The hotel is excellent and value for money, thus was my almost 5th or 6th stay at this hotel, I prefer this due to location and near to airport, the hotel staff is courteous and helpful, they have good gym facility also which is handy white travelling to make up your routine workouts",86.0
497,Metropark - Vadapalani,I wont recommend to others,Not happy. No drinking water bath soap available. On call room service is very poor.,40.0
498,The Residency Towers,Helpful staff and great service,"Great location, very close to city center and markets. Staff is very helpful and service is great. We had some special requests and they helped us with all of them. Enjoyed our stay. Would recommend to others.",86.0
499,Aadithya,Nicley decorated rooms and well-trained staff,My stay in Aadithya Hotel was very fine and relaxing. I had spend my two days very nicely and enjoyed a lot here. Hotels appearance was just Ok and location. Staff was very helping and facilities were very good. Clean and tidy room are nicely decorated. Food available was quite average rather decent in quality. After staying here and trying hotels I would say its a good hotel.,86.0
500,The Pride,no pride,slow front desk with big attitude problem,20.0
501,Gemini Inn,,AC wasnt working and never fixed after complaining.,20.0
502,Accord Metropolitan,Pleasant Stay,"Nice Hotel with good amenities. Nice Room with facilities, good Service and decent Breakfast spread, Value for Money! Situated at the prime place, easy connectivity and easy to locate. Good for families, groups and Business purpose. It was a comfortable stay!",86.0
503,The Raintree,Staff is their strength,"Great staff, Good location, good food. Cleanliness need to get improved, every thing else is good",80.0
504,Golden Fruits Business Suites - T Nagar,Located at very good place to access,For a single person it is Very nice. Located at very good place to access nearby T-nagar. Options in breakfast are from idli sambar to a variety. Staff from security to manager are all professional & that's great. Wi-Fi is good. Keep going. Value for money.,100.0
505,Somerset Greenways,Okay stay nothing great,Regular stay nothing to write home about. During morning breakfast they ask you to go to reception to collect breakfast coupon. First time I have come across this weird practice. If you order a drink in the room the waiters want you to settle the bill by cash as it cannot be posted in the bill. Most unusual and unfriendly.,57.0
506,Treebo J's Five Two Boutique,Decent stay,"The hotel was decent, in a very good location. The day we arrived there was loud drilling noise as there was some renovation happening. We were not aware of this. We complained and then an hour later, action was taken. Not spectacular, but definitely an option worth considering for a short stay (especially if available on offer).",71.0
507,Lemon Tree Chennai,Good quality food and convenient location,Everything that you need was in place.. There was no need to call for any Services. Food quality is also equally good. The location is also convenient for air as well as rail. The reception staff is also very cooperative.,100.0
508,The Vijay Park-Arumbakkam,Review,"Courtesy of front office staff was horrible!!
Will never choose this hotel again..,",60.0
509,The Park Chennai,Not a customer friendly hotel,"I made a booking for my guests, my guests were not allowed to stay in spite of a booking and payment being made online, my guests were made to wait at the lobby nearly 5 hours. Finally, I gave my ID proofs to accommodate them and yet it was not accepted and had to find a alternate solution in other hotel. Not a customer friendly hotel.",57.0
510,Sangeetha Residency,Great Hotel for US Visa,"Me,My mom and in-laws got US Visas. Over all Great Hotel.",80.0
511,Hotel Pandian,Good stay,"Good value for money with very proactive staff. The location again excellent, just opposite to the Egmore railway station. The newly renovated bar is sexy and is very generous in offering snacks along with drinks. Overall, a good experience...",86.0
512,Peace Inn,"Budget friendly, clean and neat hotel","I had been here for my brother admission. Hotel is very clean. Rooms are good bigger and AC works well. A great value for money. Food is awesome. Room service is also good. Check-in and checkout was done without any delay. Thanks to staff for so much of cooperation. Whatever pictures of hotel and rooms are there on their website, you will get the same thing in real.",86.0
513,Goutham Manor,Good hotel,I stayed two days in this hotel. It locates in a prime location. We can get any product near by places. I surrounds with and number of hotels. We can board bus with just 1 minute of walk and with 10 minutes of walk we can reach railway station (local railway station).,71.0
514,FabHotel Metro Manor Central Station,Moderate hotel with average rooms,"I visited Chennai during the month of January and I stayed at Metro Manor. Location of the hotel is good. Actually it is located opposite to a stadium. Hotel lobby is also decent, but rooms are average. Food is great, but unfortunately they do not have any pool or sports games. Staff are well behaved. Overall I would say it is a moderate hotel.",57.0
515,Avnb Towers,not a good place to stay,the rooms are pathetic. not worth stay even for 1 night. their phone does not work. the toilet door does not open. the ac is not cooling.,20.0
516,Everest,,"Hotel rooms are clean enough could be cleaner, especially the sheets (I am picky) they are quite Big I took standard AC. I ddont know the surrounding hotels rates the rates seemed to be reasonable. The hotel is right besides the local train route and the main road and dont expect it to be too quite, if you want absolute pease. I didnt find it too noisy in the room according to my preference though,, recommended",80.0
517,Mallika Reisidency,i will come back to stay,In one nice,80.0
518,Lemon Tree Chennai,The Overall review about your hotel in my experience,"The first thing is, it's too costly for a small room. I am not satisfied with your time schedule for. This type of feedback format is somewhat not good for us. And I'm sorry for late reply.",65.0
519,Lemon Tree Chennai,Average stay with average food,No doubt hotel is located in quiet prime location for business travellers but I don't think it is value for money given the room size. The staff is pleasant to deal with. Food variety is also average. They should have facilities like spa for business travellers also who wish to relax after a long day.,71.0
520,Samco,"""Nice food hotel""","Samco Hotel is lovely hotel in chennai,this hotel is best for me in chennai because it was rear by city not far from city i didn't get any problem in check in,the hotel management and atmosphere are best rooms and toilets are too neat.hotel appearance is good,foods are good,nice hotel",65.0
521,Radisson Blu GRT Chennai,Value for Money,Superb hotel. Their hospitality was superb and all marks to them. The breakfast was superb. All was good. The airport pick and drop was excellent. Nothing wrong there. One touch service was excellent. The only weaker part was the room were old fashioned. They need to renovate it. Not really wrong with the room but the modern room this days are excellent. Worth the money.,86.0
522,Park Hyatt,Hotel Review,My experience of the hotel was very nice. The transportation facility was not provided by the hotel. The activities were available at the hotel. I would recommend this hotel for upcoming travellers.,86.0
523,E Hotel,Best location for people with a mind for Mall shop,"Very pleasant stay. It gave great joy to my family, especially daughters who were out for the first time. Adjoining with EA shopping mall is an ASSET!",80.0
524,FabHotel Blossoms T Nagar,Hotel located well and staff are very friendly,"Business trip for two days, very nice hotel, location is good, close to us consulate, close to market place, Railway Station and Airport. Neat and clean, nice food, nice restaurant. Friendly staff with quality service. Enjoyed the stay.",86.0
525,Radha Regent,Comfortable stay,"Hotel is simply good
But booking through expedia has made it miserable.
Very poor communication. 
Inthr hotel wifi is poor.",80.0
526,Chandra Park,Very poor experience,Overall service is very bad. No water in bathroom. Room service also bad. Receptionist behaviour not good. No WiFi. Complimentary breakfast average. Hot water not avail for 24hrs. Cable TV service is not good.,29.0
527,The Vijay Park-Arumbakkam,Good enviroment,"I stayed here since the hotel is located in a prominent location and it is easier for my relatives to visit me. During lean hours, the Restaurant provided a good environment to discuss a lot over a cup of coffee.",60.0
528,The Centre Point,Very expensive for the room they offered,It's very expensive for the room they offered. Food is also very expensive. Bad smell in the rooms. I never prefer to stay in this room again. They have charged 3000 and taxes for very small room. Suggest not to book this room.,43.0
529,Harrisons Chennai,Avoidable,Perhaps they were making most of Chennai being almost Sold-out during my stay duration but asking for 5k without even basic facilities like complementary bottled water... Wow!!,60.0
530,The Chariot,"good hotel, good price",Located in the heart of the city. Very convinient to shopping. Hotel was clean and breakfast was good.,80.0
531,ITC Grand Chola,Simply exceptional,Excellent hotel courteous staff awesome facility ... highly recommended. Would definitely stay there again,100.0
532,The Mount Manor,Need to improve its standards,Rooms are below average considering the tariff. Cleanliness is of poor quality. Bed sheets have some smells. No tea/coffee maker in room. Even not a single bottle of mineral water was provided. Wi-Fi connection was OK. Airport drop facility was provided.,71.0
533,La Woods,Enjoyed our stay,"The hotel staff are very friendly and helpful.
if you require a taxi, the hotel staff gets you one and help negotiate a good price.

we enjoyed our stay at the hotel.",100.0
534,Gemini Inn,Worst breakfast & worst amenities,"First they gave some room hence we booked executive after that they changed the room at first they cheated by giving bad room. Very narrow inside no lighting. Worst breakfast, worst amenities and very waste.",29.0
535,Goldmine,Impressive service and tasty food,"I went there a holiday, they met the all the expectation, the rooms were clean I am impressed also by the staff and the services. The food was delicious, it was very tasty and yummy. I love the location where the hotel was.",86.0
536,Hanu Reddy Residences Wallace Garden,Good stay with friendly staff,"Homely feel, secure and lot of care. Staff very friendly, warm and helpful. The location can not termed the best in the City. Don't feel like Outside stay. Food by order is just like out of our home kitchen. Overall Hanu Reddy is home away from home.",86.0
537,The Park Chennai,Worst service,Nobody attends phone. Rooms are very old & small. Very small outdated tv,20.0
538,Lemon Tree Chennai,Overnight stay for airport connection,"Good hotel and room. Not too far from the airport - about 15 mins. Helpful staff, restaurant maybe overpriced but not bad. Bed was comfortable and clean. Free WiFi wasn't really good. Overall quite satisfied.",100.0
539,Hyatt Regency Chennai,Great Stay at this hotel!!,"Stayed at the Hyatt in Chennai for the first time and was a refreshing change from the other hotels in the city.
Great rooms , brilliant food and the location could nt be better.",100.0
540,"The Raintree, St. Mary's Road",just like home,i work all over the world and hotels are part of my life the Raintree St. Marys is absolutely wonderful the staff from top management to resteraunt staff and housekeeping are very friendly and accomadating they make you feel at home but with better service :) definitley recomend this place for business or vacation . the location is great and they have three resteraunts all with great food,100.0
541,Southern Residency,Nice stay,"Nice one to stay. Clean and tidy rooms, but food is bot upto the mark and very far from airport. Could be better, if they add airport cab service. As the normal cab guys are totally betraying passengers.",71.0
542,Royal Chennai Residency,Not as expected,"Not a very good location, only advantage is it is close to airport. Very small room and very noisy. Did not provide shuttle service as promised",60.0
543,VGP Golden Beach Resort,Bad place to stay,"Too many Mosquitoes, late check in, warm room, fridge not working, no light over vanity mirror, bed  too  soft, disturbed at the middle of the night by a errand boy, dirty swimming pool, curtains don't cover the full windows, balcony chairs uncomfortable, no information about complimentary tea, breakfast not part of the package, no lights on the beach, no tea kettle, bath shower low force, no hand towel, no complimentary fruits, snacks or drinks",20.0
544,Hilton Chennai,Will stay again.,My stay was good. The addition of the O2 spa was terrific...thank you,80.0
545,Hilton Chennai,A relaxing Break from the streets of Chennai,"The Hilton Chennai, is a lovely hotel with very kind staff and extremely clean and relaxing rooms. Q-bar on the roof is always hopping on Friday and Saturday nights and the food at the restaurant or room service will help any western travelers belly from getting delhi belly. Just wear your bug spray in the lobby from the mosquitos they are many.",80.0
546,Hilton Chennai,Hilton Chennai,"Very comfortable and felt safe. 
Staff were very helpful and respectful. Breakfast offered a wide choice which cartered for every palate, started early and finished late.",100.0
547,FabHotel Blossoms T Nagar,Good,I was stayed for official purpose ..It was located in the main city and very easy to locate and room appearence needs to improve . The Room has more sapce and is good to be there. Cleanliness was maintained .. Overall experience in service needs to improve.....,65.0
548,The Mount Manor,Great location but facilities not as per expectation,Great location but facilities not up to expectations. AC not working washroom and shower lacking in quality and cleanliness the service desk not prompt in acknowledging booking. Overall cleanliness and hygiene lacking no clarity on airport drop not value for the money charged.,43.0
549,Manickam Grand,Below average and not worth paying it,"Not at all clean. Better delete it from your suggested hotels. Neither the rooms are clean, nor the toilets. AC does not function properly. It is not worth staying for the business people.",57.0
550,Victoria,Nice and comfortable stay,"The location was good with a number of good restaurants nearby. The hotel was comfortable for stay and AC was very effective, the staff had been courteous and helpful. The breakfast was complimentary and above average. This is second time that I chose to stay in this hotel. Recommended.",71.0
551,Abu sarovar portico ex Abu Palace,Good staff and excellent services,It was my 1st stay at hotel Abu Sarovar Portico in Chennai. And stay was memorable. Food quality was also awesome. We got great deal with makemytrip. I 100% recommend to all for pleasant stay to this hotel.,100.0
552,Trident Chennai,Ultimate in hospitality,Clean Green Spacious with staff full of empathy. What more can one ask for. Awesome stay. Keep up the good hospitality guys. Didn't hear a single No to any of my requests through my stay. Oberoi Group rocks.,100.0
553,MGM Eastwoods,Nice place to enjoy with friends for a weekend,Overall experience was very pleasant.. The resort had various games and activities.. The pool was smaller than expected but it was still nice.. Location was nice.. Breakfast was also good..,86.0
554,Radisson Blu GRT Chennai,Conversation was not that much,The location of the hotel was good. The appearance of the hotel was good. I didn’t face any problem to reach the hotel. There was no activity arranged by the hotel.,71.0
555,The Residency Towers,Good experience,It was a good experience. We had a very wonderful time there. The service was excellent. They provide the best service. Thank you for such a wonderful experience. Keep up the good work and maintain the hotel as it is.,100.0
556,Suriya International,Maybe good for an economic bed when you are alone.,"Reception in 4 floor! Not a right place if you are with family. Basic amneties are okay. Furniture are ancient and shabby.
But hotel staff are courteous and friendly.",40.0
557,Goldmine,Behaviour of staff's was good,It was a good hotel. All facility was provided in the room. The complimentary breakfast was provided in the hotel. The behaviour of staff's was good. The transportation facility was not provided in the hotel. I went to this hotel by my own vehicle. Parking facility was available at the hotel. The overall experience was good in the hotel. I was a frequent traveller to this hotel.,71.0
558,Thaj Guest House,A good and beautiful hotel,Taj guest house is situated at a perfect location near beach. The view is just awesome from here. The rooms were not too big but well cleaned and well maintained. The staff was very helpful. The food was very yummy. I enjoyed my trip to Taj Guest House. I will surely come back again in this hotel to stay.,86.0
559,Hilton Chennai,Five star service,Lovely hotel which is handy for the airport. Not the best location but once inside your away from the hustle and bustle outside. A short taxi ride into town or to the beach. Service and food were wexcellent.,100.0
560,Green Meadows,Pleasant Stay,It was a pleasant stay. Such a peaceful location within the city. Nice place to hangout with friends. Swimming pool need to be maintained properly that's the only discomfort we felt beside it was a good stay.,86.0
561,Dolphin Park,Nice hotel and worth for money,Nice reception and parking facility available. Hospitality was good. Room walls were dirty. Nevertheless toilet was very neat. I paid Rs. 500 after discount for a night in Non AC room. Worth for money if you pay less than 600 in non AC. Location is far away from airport and Chennai central.,71.0
562,Le Royal M?ridien Chennai,"Was a pleasant stay, everything was super good !!!","Was a very pleasant stay, everything was super good from rooms to staffs to ambiance, food so forth !!!",100.0
563,The Mount Manor,Bingo,overall a pleasant stay,80.0
564,Raj Park Chennai,Great location and very poor service,"This hotel is in a fantastic location, walking distance to good restaurants and shopping. However, Service is very poor. Staff seems very poorly trained and paid, and that is exactly the service quality they offer, breakfast not up to the mark, checkout will take a long time so be prepared to add 15-20 minutes if you have a flight to catch, coffee/tea maker in room dirty and not per a 4 star property.",57.0
565,Raj Park Chennai,Good experience,It was good. Worth the amount you pay. Location is good. Lot of things available nearby. Will book this hotel again in case I wish to travel to that side of the country. Overall a good and happy experience.,86.0
566,Hilton Chennai,Five star service,Lovely hotel which is handy for the airport. Not the best location but once inside your away from the hustle and bustle outside. A short taxi ride into town or to the beach. Service and food were wexcellent.,100.0
567,OYO Rooms Vadapalani Murugan Temple,Had a great time.,"It was a nice experience,hotel staff were really supportive and nice.",100.0
568,Season 4 Guest House,Hotel review,I had visited this hotel with my family for holiday trip. The hotel was located in the city. The hotel location was convenient. Everything was provided in the room. I don’t have any suggestion for this hotel improvement.,71.0
569,Lake View Park,Hotel looks good but rooms are not good,"The hotel looks good from outside but executive rooms are not good specially toilets. Situated in good place but due to ola cab service available in Chennai transportation, charges become low and due to this hotel become easy for moving different part of Chennai in reasonable price.",57.0
570,FabHotel Queensway T Nagar,Affordable hotel,Located in prime area. Budget hotel with clean and neat rooms. Food is very good. However non availability of flexi check out (12 noon strictly followed) and very few staff to assist in room service is only problem. Very good hotel for short stay though.,86.0
571,Sea Shell Residency,Good food,Gud location of the hotel nice destination and in this hotel near to the bus stand in hotel rooms are super and comforteble stey appearance was gud and they provided wi fy connectivity and service was awesome and totally stey was Gud in that hotel was special,65.0
572,Royal Star,Value for money,"Rooms are neat and clean. Good food all amenities are good. Really appreciate the room service for providing our needs on time. Prime location very near to central and egmore, Railway station in the centre of Chennai.",100.0
573,Savera,Right choice for business stay,Hotel location is good. It's near to German consulate and shopping malls. Breakfast was superb with many options. Room was comfortable. They have pool and its always occupied. And food quality is good. We had a great stay.,86.0
574,The Residency Chennai,stay was very good..staff was very courteous,"all in all good..location is excellent close to everything
staff was very friendly and welcoming and very helpful and very knowledgable about the city and guide you about dos and donts whch is very important if you are visiting for leisure and they tell you where to go and when to go",100.0
575,The Residency Towers,,"Very clean!
Great Service!",100.0
576,The Residency Towers,Great Hotel and you forgot that you are in India,"The room is clean, international standards, option of turning on ceiling lights if you prefer brighter otherwise is warm and cosy.

Toilet small but funtional and water pressure good (16th floor room).",80.0
577,"The Raintree, St. Mary's Road","Excellent, over top service.",This was our first stay in india after we landed in chennai and started our 3 week trek across southern india. A splurge that we're glad we made. Helped us adjust our barrings. Its in a good neighborhood to walk around and explore. Staff was great. Highly recommend.,100.0
578,Southern Crest,Excellent location & value for money,"Excellent location, very courteous staff and good food. I would love to come back with family to this hotel. Booking was done through Makemytrip, which provided additional discount. Not knowing the exact location of the hotel, was a bit apprehensive. But the decision to book this hotel was absolutely right and worth it.",86.0
579,Starcity Residence,"Awesome place, great experience","The great experience ever in the city, love to get in there. It's the wonderful days in my life, love to experience. The interior of the hotel is awesome and also great food, love to stay while there me and my friends got the fantastic experience and also enjoyed a lot more in Chennai.",100.0
580,Samco,Good location with comfort rooms to stay,It is one of the best hotel and very budget hotel to everyone. The rooms are in some money range. The location is very nice the surrounding place is good to see and stay and the appearance is not much there but it is ok. The food is provided by the hotel is with very genuine rate and the place is very beautiful the front office receiving is also good.,86.0
581,Accord Metropolitan,Not worth for money,I am taking this hotel as 4 stars since the rooms are so small and we can't place our luggages in a suitable place. Japanese restaurant was not good. Food are so small quantity. Not worth the money.,71.0
582,Victoria,Good hotel & excellent food,"Very good hotel. Staff are also very good. Room service and food is excellent. It's near Egmore station, it has centralised Air-Condition with good facility. Daily room cleaning. Cable television. It has a free Wi-Fi connection.",100.0
583,Nachiappa Park,Nice and comfort stay,"Situated at the busy heart of the city, this place is very clean. No hassles like other places. Nice customer service. They were very responsive even at late night. Decent and clean rooms. Great value for money.",86.0
584,The Pride,Decent hotel but service is slow,I had a bad time because the wifi was not working. I needed to some important an urgent work. Repeated complaints to the reception staff got me nothing but false reassurance! The management need to really pull up their socks and hire some decent staff or at least educate their staff regarding how to help customers. Also false promises like free wifi should not be made.,57.0
585,FabHotel Priyadarshini Park Mount Road,,"Overall good , room are need& regular cleaning. Hotel Staff are very good",80.0
586,ITC Grand Chola,It's a fine  experience,Great hotel but sometime felt  too big,80.0
587,Lemon Tree Chennai,Good hotel,Good service and fairly comfortable stay,80.0
